Nombre completo,País de origen,Equipo actual,Cualquier referencia a su ascendencia o raíces,Link del tweet,Fecha,Citar la parte del tweet en donde encontraste la informacion solicitada
https://twitter.com/SOLOVENEX_/status/1748786447392375295,"Jan 20, 2024","""Luego de mil batallas en el fútbol europeo, una infinidad de emociones con la selección nacional de Venezuela, y el vaivén de una de las carreras más duraderas para un futbolista venezolano en el exterior, Nicolás Ladislao Fedor volvió al país que lo vio nacer. En el que todo inició. “Miku” fue anunciado por Academia Puerto Cabello protagonizando uno de los movimientos más importantes del último tiempo en el FUTVE. El torneo local contará en 2024 con la presencia de uno de los goleadores activos más experimentados nacidos en este país. El 𝗜𝗡𝗖𝗢𝗠𝗕𝗨𝗦𝗧𝗜𝗕𝗟𝗘 Nicolás Fedor. 𝗟𝗨𝗝𝗔𝗭𝗢. @la_academiapc // @LigaFUTVE ⚽️🇻🇪  #FutVe #Fedor #Fichajes #SoloVenex""",,Salomón Rondón,Venezolano,Pachuca
https://twitter.com/SOLOVENEX_/status/1748786447392375295,"Jan 20, 2024","""Luego de mil batallas en el fútbol europeo, una infinidad de emociones con la selección nacional de Venezuela, y el vaivén de una de las carreras más duraderas para un futbolista venezolano en el exterior, Nicolás Ladislao Fedor volvió al país que lo vio nacer. En el que todo inició. “Miku” fue anunciado por Academia Puerto Cabello protagonizando uno de los movimientos más importantes del último tiempo en el FUTVE. El torneo local contará en 2024 con la presencia de uno de los goleadores activos más experimentados nacidos en este país. El 𝗜𝗡𝗖𝗢𝗠𝗕𝗨𝗦𝗧𝗜𝗕𝗟𝗘 Nicolás Fedor. 𝗟𝗨𝗝𝗔𝗭𝗢. @la_academiapc // @LigaFUTVE ⚽️🇻🇪  #FutVe #Fedor #Fichajes #SoloVenex""",,Salomón Rondón,Venezolano,Pachuca
https://twitter.com/SOLOVENEX_/status/1744915350498460097,"Jan 10, 2024","""¡𝗥𝗢𝗡𝗗𝗢́𝗡 en su nuevo 𝗖𝗢𝗟𝗜𝗦𝗘𝗢! •🛡️🇻🇪  ‘𝗘𝗟 𝗚𝗟𝗔𝗗𝗜𝗔𝗗𝗢𝗥’ ya entrena con Pachuca.  #VenEx #Rondón #Pachuca #SoloVenex",📸 @TuzosOficial,"""",,Salomón Rondón
Pachuca,No se encontró información,https://twitter.com/SOLOVENEX_/status/1746391507307786410,"Jan 14, 2024","""Salomón Rondón 𝗗𝗘𝗕𝗨𝗧𝗢́ este sábado con Pachuca y anotó el 𝗚𝗢𝗟 que le dio la victoria a ‘Los Tuzos’ 0-1 sobre @CruzAzul por la fecha 01 de la Liga MX. Con el tanto ante la ‘Máquina Cementera’, el nativo de Catia y ex jugador de River Plate,  ya sabe lo que es rubricar las redes en cuatro confederaciones distintas luego de que lo hiciera en CONMEBOL, UEFA, AFC y ahora, CONCACAF. 𝗡𝗨𝗡𝗖𝗔 duden del ‘Gladiador’ Vinotinto. ¡‘𝟵’ 𝗗𝗘 𝗥𝗔𝗭𝗔! 🇻🇪  #VenEx #Rondón #Pachuca #SoloVenex",📸 @TuzosOficial,""""
Alexander González,Venezolano,Emelec,No se encontró información,https://twitter.com/SOLOVENEX_/status/1746256773588119748,"Jan 13, 2024","""𝗢𝗙𝗜𝗖𝗜𝗔𝗟: Alexander González fue anunciado como nuevo jugador del @CSEmelec de la primera división de Ecuador. Firmó un acuerdo por dos años luego de su paso por @Caracas_FC de la @LigaFUTVE. El lateral derecho de 31 años arriba a su 𝗡𝗢𝗩𝗘𝗡𝗔 etapa en el fútbol internacional tras sus pasos por: Young Boys, Aarau, Thun, SD Huesca, Elche, Mirandés, FC Dinamo, Málaga y el Pyunik de Armenia. Inicia un nuevo reto para el internacional con la @SeleVinotinto. ¡𝗘́𝗫𝗜𝗧𝗢𝗦, @Alexdavid92! 🇻🇪  #VenEx #González #Oficial #SoloVenex"
"""",,Tomás Rincón,Venezolano,Incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1746167786810798097
"""Imaginen, siendo venezolano, jugar al menos 14 años en la élite del fútbol mundial. Figurando en la Bundesliga alemana y la Serie A italiana, por ejemplo. Incluso, llegando a la Juventus de Turín. Imaginen dedicar 22 de tus 36 años de vida a la selección nacional de tu país, y no conforme con eso, disputar más de 10.000 minutos de juego y convertirte además en el jugador que más veces portó la cinta de capitán en la historia de la @SeleVinotinto. Imaginen seguir vigente y ser parte de la selección que lucha por un cupo al Mundial de 2026, el cual sería el primero. Ahora imaginen, después de todo lo dicho, no considerarlo como una 𝗟𝗘𝗬𝗘𝗡𝗗𝗔 del fútbol venezolano. Feliz cumpleaños, @TomasRincon5. Seremos breves, muy breves: 𝗚𝗥𝗔𝗖𝗜𝗔𝗦 🫡⚽️🇻🇪  #Rincón #Venezuela #HB #SoloVenex",📸 Getty Images,"""",,Tomás Rincón,Venezolano,Incompleto
https://twitter.com/SOLOVENEX_/status/1744360588120138220,"Jan 8, 2024","""🇻🇪 Tomás Rincón le da la bienvenida a Rómulo Otero al @santosfc: “𝗧𝗠𝗝, 𝗵𝗲𝗿𝗺𝗮𝗻𝗼"""", posteó en su IG. ¿El objetivo? ¡𝗱𝗲𝘃𝗼𝗹𝘃𝗲𝗿𝗹𝗼𝘀 𝗮 𝗽𝗿𝗶𝗺𝗲𝗿𝗮! 🔝  💬 • ¿Lo lograrán? Te leemos aquí abajo: _____  #VenEx #Rincón #Otero #Santos #SoloVenex""",,Adalberto Peñaranda,Venezolano,Incompleto
https://twitter.com/SOLOVENEX_/status/1744454838270788007,"Jan 8, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀""",,Saúl Guarirapa,Venezolano,Sochi
https://twitter.com/SOLOVENEX_/status/1747954601179902405,"Jan 18, 2024","""𝗢𝗙𝗜𝗖𝗜𝗔𝗟: El delantero Saúl Guarirapa fue anunciado este jueves como nuevo jugador del PF Sochi de la primera división de Rusia. Llega en calidad de 𝗖𝗘𝗗𝗜𝗗𝗢 por seis meses con opción a compra desde el Caracas FC a la que será su primera experiencia en el balompie internacional. En el cuadro capitalino participó en 26 goles (16 tantos y 10 asistencias) en 69 partidos, reseñó la @LigaFUTVE. 𝗡𝗨𝗘𝗩𝗢 𝗥𝗘𝗧𝗢 para ‘‘𝑮𝒖𝒂𝒓𝒊’’ 🇻🇪  #VenEx #Guarirapa #Fichajes #SoloVenex",📸 @pfcsochi,"""",,Saúl Guarirapa
Sochi,No se encontró información,https://twitter.com/SOLOVENEX_/status/1744439329181651283,"Jan 8, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀""",,Jon Aramburu
Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1747954601179902405,"Jan 18, 2024","""𝗢𝗙𝗜𝗖𝗜𝗔𝗟: El delantero Saúl Guarirapa fue anunciado este jueves como nuevo jugador del PF Sochi de la primera división de Rusia. Llega en calidad de 𝗖𝗘𝗗𝗜𝗗𝗢 por seis meses con opción a compra desde el Caracas FC a la que será su primera experiencia en el balompie internacional. En el cuadro capitalino participó en 26 goles (16 tantos y 10 asistencias) en 69 partidos, reseñó la @LigaFUTVE. 𝗡𝗨𝗘𝗩𝗢 𝗥𝗘𝗧𝗢 para ‘‘𝑮𝒖𝒂𝒓𝒊’’ 🇻🇪  #VenEx #Guarirapa #Fichajes #SoloVenex",📸 @pfcsochi,""""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494037891559608,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1751247285403496462,"Jan 27, 2024","""Jon Aramburu sigue pisando firme con la Real Sociedad y este sábado estampó su tercera titularidad consecutiva. El defensor venezolano viene de disputar 90’ minutos ante Celta de Vigo por Copa del Rey y ahora, completó su primer partido en la máxima categoría de España (LaLiga), siendo una de las figuras más resaltantes del “donostiarra” en el 0-0 con Rayo Vallecano. Desde casa, un viejo conocido lo alienta, el astro francés Antoine Griezmann. Ex elemento de la Real y jugador que también es manejado por la misma casa de representación de @JonAramburu3. Esta, conocida como @byandfor. ¡𝗨𝗡 𝗣𝗔𝗡𝗔 𝗗𝗘 𝗟𝗨𝗝𝗢! 🤝🏻🇫🇷🇻🇪  #VenEx #Aramburu #Griezmann #SoloVenex"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1751057058776924173,"Jan 27, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1750523950545686528,"Jan 25, 2024","""Así comenzó: 👶🏽 ➡️ Así va: ⭐️  𝗟𝗘𝗘𝗡𝗛𝗔𝗡 𝗥𝗢𝗠𝗘𝗥𝗢 (𝟮𝟬𝟬𝟲) hizo su presentación este miércoles con el primer equipo de la Universidad Católica en la victoria 0-1 sobre Coquimbo por la Copa de Verano 2024, torneo preparatorio que se juega previo al inicio del torneo local. Ingresó al 67’ con el dorsal #32 uno de los proyectos más ambiciosos del elenco ‘cruzado’ en la actualidad. El canterano ya suma minutos con la máxima categoría. El momento finalmente ha llegado: ¡𝗗𝗘𝗕𝗨𝗧𝗢́ 𝗘𝗟 𝗖𝗛𝗔𝗠𝗢! 🇻🇪  .@Cruzados #VenEx #Leenhan #Chile #SoloVenex"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1748023013843370044,"Jan 18, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745439973371699412,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1745494664986178005,"Jan 11, 2024","""“Ya casi nos vemos, @FK_Sarajevo”   Fin de la novela ⁉️ 👀"""
