Nombre completo,País de origen,Equipo actual,Cualquier referencia a su ascendencia o raíces,Link del tweet,Fecha,Parte del tweet
"José ""Brujo"" Martínez",Venezolano,Corinthians,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828155885052666261#m,"Aug 26, 2024",No se encontró información
Miguel Vargas,Venezolano,Conquimbo Unido,No se encontró información,https://twitter.com/SOLOVENEX_/status/1827842046289232306#m,"Aug 25, 2024",No se encontró información
Jon Aramburu,Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1827770536048406756#m,"Aug 25, 2024",No se encontró información
Leenhan Romero,Venezolano,Universidad Católica,"""Fue tentado por la selección de Chile en la categoría U17, pero decidió representar a Venezuela.""",https://twitter.com/SOLOVENEX_/status/1827152775781716471#m,"Aug 24, 2024",No se encontró información
Fernando Aristeguieta,Venezolano,Caracas,No se encontró información,https://twitter.com/SOLOVENEX_/status/1826643073486422237#m,"Aug 22, 2024",No se encontró información
Jefferson Savarino,Venezolano,Botafogo,"""maracucho""",https://twitter.com/SOLOVENEX_/status/1826608183227384237#m,"Aug 22, 2024",No se encontró información
Rubén Ramírez,Venezolano,Cusco FC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1826373985095012464#m,"Aug 21, 2024",No se encontró información
Wilker Ángel,Venezolano,Criciúma,No se encontró información,https://twitter.com/SOLOVENEX_/status/1826222155467575785#m,"Aug 21, 2024",No se encontró información
Yeferson Soteldo,Venezolano,Grêmio,No se encontró información,https://twitter.com/SOLOVENEX_/status/1826222155467575785#m,"Aug 21, 2024",No se encontró información
Alessandro Milani,Venezolano,Lazio,"""Nacido en Latina, Italia, de abuelo venezolano""",https://twitter.com/SOLOVENEX_/status/1825951399991218588#m,"Aug 20, 2024",No se encontró información
Cristian Moukhallaleh,Venezolano,Kifisia FC,"""nació el 21 de enero de 1990 en la ciudad de Maracay""",https://twitter.com/SOLOVENEX_/status/1825951399991218588#m,"Aug 20, 2024",No se encontró información
Roberto Rosales,Venezolano,Deportivo Táchira,No se encontró información,https://twitter.com/SOLOVENEX_/status/1825890272519053353#m,"Aug 20, 2024",No se encontró información
Juan Arango,Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1825712105628082327#m,"Aug 20, 2024",No se encontró información
Carlos Neus,Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1825642193018826902#m,"Aug 19, 2024",No se encontró información
Carlos Faya,Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1825562434993537106#m,"Aug 19, 2024",No se encontró información
Dany Febles,Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1825562434993537106#m,"Aug 19, 2024",No se encontró información
Jan Carlos Hurtado,Venezolano,Atlético Goianiense,No se encontró información,https://twitter.com/SOLOVENEX_/status/1825525533465076125#m,"Aug 19, 2024",No se encontró información
Jesús Ramírez,Venezolano,Vitória SC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1825273913158377833#m,"Aug 18, 2024",No se encontró información
"José ""Brujo"" Martínez",Venezolano,Corinthians,No se encontró información,https://twitter.com/SOLOVENEX_/status/1825236304717664387#m,"Aug 18, 2024",No se encontró información
"José ""Brujo"" Martínez",Venezolano,Philadelphia Union,No se encontró información,https://twitter.com/SOLOVENEX_/status/1824978679027454168#m,"Aug 18, 2024",No se encontró información
Luis Suárez,Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1824461678139875722#m,"Aug 18, 2024",No se encontró información
César Farías,Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1824130505890992303#m,"Aug 16, 2024",No se encontró información
"José ""Brujo"" Martínez",Venezolano,Corinthians,No se encontró información,https://twitter.com/SOLOVENEX_/status/1823768476747469121#m,"Aug 14, 2024",No se encontró información
Yeferson Soteldo,Venezolano,Grêmio,No se encontró información,https://twitter.com/SOLOVENEX_/status/1823499515573223469#m,"Aug 13, 2024",No se encontró información
Samuel Rodríguez,Venezolano,CF Talavera,"""de inicios en el Dynamo Margarita y formación en las categorías inferiores del Atlético de Madrid""",https://twitter.com/SOLOVENEX_/status/1823474232728113240#m,"Aug 13, 2024",No se encontró información
Adalberto Peñaranda,Venezolano,Atlético Bucaramanga,No se encontró información,https://twitter.com/SOLOVENEX_/status/1823398772124070386#m,"Aug 13, 2024",No se encontró información
R.  Rivas,Venezolano,Al-Taawoun,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información
Bryant Ortega,Venezolano,Al-Ittihad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información
Bianneider Tamayo,Venezolano,U de Chile,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información
Jhon Chancellor,Venezolano,Universidad Católica,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829702089473237344#m,"Aug 31, 2024",No se encontró información
Wilker Ángel,Venezolano,Criciúma,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829702089473237344#m,"Aug 31, 2024",No se encontró información
Diego Luna,Venezolano,Kimkhi FC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829610581193806065#m,"Aug 30, 2024",No se encontró información
Matías Lacava,Venezolano,Atlético Goianiense,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829600154149883995#m,"Aug 30, 2024",No se encontró información
Jan Carlos Hurtado,Venezolano,Atlético Goianiense,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829600154149883995#m,"Aug 30, 2024",No se encontró información
Daniele Quieto,Venezolano,Inter,"""de madre venezolana""",https://twitter.com/SOLOVENEX_/status/1829256513195782654#m,"Aug 29, 2024",No se encontró información
Andrés Ponce,Venezolano,Atlético Bucaramanga,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829168408929415355#m,"Aug 29, 2024",No se encontró información
Rafael Dudamel,Venezolano,Atlético Bucaramanga,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829168408929415355#m,"Aug 29, 2024",No se encontró información
Renné Rivas,Venezolano,Al-Taawoun,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información
Bryant Ortega,Venezolano,Al-Ittihad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información
Bianneider Tamayo,Venezolano,U de Chile,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información
Kevin Kelsy,Venezolano,FC Cincinnati,"""delantero valenciano""",https://twitter.com/SOLOVENEX_/status/1830066567645712405#m,"Sep 1, 2024",No se encontró información
Luis Guerra,Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829942982566690836#m,"Aug 31, 2024",No se encontró información
Jhon Chancellor,Venezolano,Universidad Católica,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829702089473237344#m,"Aug 31, 2024",No se encontró información
Wilker Ángel,Venezolano,Criciúma,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829702089473237344#m,"Aug 31, 2024",No se encontró información
Diego Luna,Venezolano,Kimkhi FC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829610581193806065#m,"Aug 30, 2024",No se encontró información
Matías Lacava,Venezolano,Atlético Goianiense,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829600154149883995#m,"Aug 30, 2024",No se encontró información
Jan Carlos Hurtado,Venezolano,Atlético Goianiense,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829600154149883995#m,"Aug 30, 2024",No se encontró información
Daniele Quieto,Venezolano,Inter,"""de madre venezolana""",https://twitter.com/SOLOVENEX_/status/1829256513195782654#m,"Aug 29, 2024",No se encontró información
Andrés Ponce,Venezolano,Atlético Bucaramanga,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829168408929415355#m,"Aug 29, 2024",No se encontró información
Rafael Dudamel,Venezolano,Atlético Bucaramanga,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829168408929415355#m,"Aug 29, 2024",No se encontró información
Renné Rivas,Venezolano,Al-Taawoun,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información
Bryant Ortega,Venezolano,Al-Ittihad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información
Bianneider Tamayo,Venezolano,U de Chile,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información
Kevin Kelsy,Venezolano,FC Cincinnati,"""delantero valenciano""",https://twitter.com/SOLOVENEX_/status/1830066567645712405#m,"Sep 1, 2024",No se encontró información
Luis Guerra,Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829942982566690836#m,"Aug 31, 2024",No se encontró información
Jhon Chancellor,Venezolano,Universidad Católica,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829702089473237344#m,"Aug 31, 2024",No se encontró información
Wilker Ángel,Venezolano,Criciúma,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829702089473237344#m,"Aug 31, 2024",No se encontró información
Diego Luna,Venezolano,Kimkhi FC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829610581193806065#m,"Aug 30, 2024",No se encontró información
Matías Lacava,Venezolano,Atlético Goianiense,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829600154149883995#m,"Aug 30, 2024",No se encontró información
Jan Carlos Hurtado,Venezolano,Atlético Goianiense,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829600154149883995#m,"Aug 30, 2024",No se encontró información
Daniele Quieto,Venezolano,Inter,"""de madre venezolana""",https://twitter.com/SOLOVENEX_/status/1829256513195782654#m,"Aug 29, 2024",No se encontró información
Andrés Ponce,Venezolano,Atlético Bucaramanga,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829168408929415355#m,"Aug 29, 2024",No se encontró información
Rafael Dudamel,Venezolano,Atlético Bucaramanga,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829168408929415355#m,"Aug 29, 2024",No se encontró información
Renné Rivas,Venezolano,Al-Taawoun,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información
Bryant Ortega,Venezolano,Al-Ittihad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información
Bianneider Tamayo,Venezolano,U de Chile,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información
Kevin Kelsy,Venezolano,FC Cincinnati,"""delantero valenciano""",https://twitter.com/SOLOVENEX_/status/1830066567645712405#m,"Sep 1, 2024",No se encontró información
Luis Guerra,Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829942982566690836#m,"Aug 31, 2024",No se encontró información
Jhon Chancellor,Venezolano,Universidad Católica,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829702089473237344#m,"Aug 31, 2024",No se encontró información
Wilker Ángel,Venezolano,Criciúma,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829702089473237344#m,"Aug 31, 2024",No se encontró información
Diego Luna,Venezolano,Kimkhi FC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829610581193806065#m,"Aug 30, 2024",No se encontró información
Matías Lacava,Venezolano,Atlético Goianiense,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829600154149883995#m,"Aug 30, 2024",No se encontró información
Jan Carlos Hurtado,Venezolano,Atlético Goianiense,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829600154149883995#m,"Aug 30, 2024",No se encontró información
Daniele Quieto,Venezolano,Inter,"""de madre venezolana""",https://twitter.com/SOLOVENEX_/status/1829256513195782654#m,"Aug 29, 2024",No se encontró información
Andrés Ponce,Venezolano,Atlético Bucaramanga,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829168408929415355#m,"Aug 29, 2024",No se encontró información
Rafael Dudamel,Venezolano,Atlético Bucaramanga,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829168408929415355#m,"Aug 29, 2024",No se encontró información
Renné Rivas,Venezolano,Al-Taawoun,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información
Bryant Ortega,Venezolano,Al-Ittihad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información
Bianneider Tamayo,Venezolano,U de Chile,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información
Kevin Kelsy,Venezolano,FC Cincinnati,"""delantero valenciano""",https://twitter.com/SOLOVENEX_/status/1830066567645712405#m,"Sep 1, 2024",No se encontró información
Luis Guerra,Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829942982566690836#m,"Aug 31, 2024",No se encontró información
