Nombre completo,País de origen,Equipo actual,Cualquier referencia a su ascendencia o raíces,Link del tweet,Fecha,Parte del tweet
Dani Nieto,Español,incompleto,No se encontró información,https://twitter.com/Anzoategui_FC/status/1833543074988830751#m,"Sep 10, 2024",No se encontró información
Fernando Batista,Argentino,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1834349489802395743#m,"Sep 12, 2024",No se encontró información
Saúl Guarirapa,Venezolano,CSKA,"""Llegó CEDIDO por un año desde el Sochi.""",https://twitter.com/SOLOVENEX_/status/1834305236988498227#m,"Sep 12, 2024","""Llegó CEDIDO por un año desde el Sochi."""
Deivid Tegues,Venezolano,Chernomorets,No se encontró información,https://twitter.com/SOLOVENEX_/status/1834229309579428033#m,"Sep 12, 2024",No se encontró información
Jon Aramburu,Venezolano,Real Sociedad,"""Jon Aramburu y sus sensaciones tras el 0-0 con Uruguay por la jornada 08 de las Eliminatorias.""",https://twitter.com/SOLOVENEX_/status/1833713059828744465#m,"Sep 11, 2024",No se encontró información
Yeferson Soteldo,Venezolano,Gremio,No se encontró información,https://twitter.com/SOLOVENEX_/status/1833570127192985742#m,"Sep 10, 2024",No se encontró información
Fernando Batista,Argentino,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1833512752632987816#m,"Sep 10, 2024",No se encontró información
Daniela Quieto,Venezolana,Inter,"""El mensaje de Daniela Quieto a Venezuela tras su primer modulo con @juvenilesfvf.  Ahora, volverá a la disciplina del @Inter, equipo que defiende en sus inferiores.""",https://twitter.com/SOLOVENEX_/status/1833214100190728456#m,"""El mensaje de Daniela Quieto a Venezuela tras su primer modulo con @juvenilesfvf.  Ahora, volverá a la disciplina del @Inter, equipo que defiende en sus inferiores.""",
Venezolano,incompleto,"""📸 𝙭 @Srodrigueez13 𝙭 @CarlosFayar18 ~""",https://twitter.com/SOLOVENEX_/status/1832837528249848208#m,"Sep 8, 2024",No se encontró información,
Venezolana,As Celtas,"""La lateral/volante venezolana también fue la primera jugadora extranjera fichada por el recién nacido club en su primera ventana de pases oficial.""",https://twitter.com/SOLOVENEX_/status/1832574001169723902#m,"Sep 8, 2024","""La lateral/volante venezolana también fue la primera jugadora extranjera fichada por el recién nacido club en su primera ventana de pases oficial.""",
Venezolano,CF Kelme,"""Nacido en España, hijo de españoles, pero nieto de una abuela venezolana que desde muy chico le inculcó el amor por sus raíces: y ahí nace el sueño.""",https://twitter.com/SOLOVENEX_/status/1832445734165033398#m,"Sep 7, 2024","""Nacido en España, hijo de españoles, pero nieto de una abuela venezolana que desde muy chico le inculcó el amor por sus raíces: y ahí nace el sueño.""",
Argentino,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1832199204657119408#m,"Sep 7, 2024",No se encontró información,
Venezolano,Kolos Kovalivka,No se encontró información,https://twitter.com/SOLOVENEX_/status/1832108089769914572#m,"Sep 6, 2024",No se encontró información,
Venezolano,Junior Club SA,"""ex director técnico nacional de #Venezuela y #Bolivia""",https://twitter.com/SOLOVENEX_/status/1832060281532379617#m,"Sep 6, 2024","""ex director técnico nacional de #Venezuela y #Bolivia""",
Argentino,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1831841940029014134#m,"Sep 6, 2024",No se encontró información,
Venezolano,Pachuca,No se encontró información,https://twitter.com/SOLOVENEX_/status/1831818366543163626#m,"Sep 5, 2024",No se encontró información,
Argentino,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1831722714408653122#m,"Sep 5, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1831689906709467588#m,"Sep 5, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1831426301779202362#m,"Sep 4, 2024",No se encontró información,
Venezolano,Salernitana,"""El delantero ítalo - venezolano""",https://twitter.com/SOLOVENEX_/status/1831325456462733789#m,"Sep 4, 2024","""El delantero ítalo - venezolano""",
Argentino,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1831102953693893013#m,"Sep 3, 2024",No se encontró información,
Argentino,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1831030100378239158#m,"Sep 3, 2024",No se encontró información,
Uruguayo,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1830771100030042233#m,"Sep 3, 2024",No se encontró información,
Uruguayo,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1830771100030042233#m,"Sep 3, 2024",No se encontró información,
Uruguayo,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1830771100030042233#m,"Sep 3, 2024",No se encontró información,
Uruguayo,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1830771100030042233#m,"Sep 3, 2024",No se encontró información,
Uruguayo,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1830771100030042233#m,"Sep 3, 2024",No se encontró información,
Uruguayo,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1830771100030042233#m,"Sep 3, 2024",No se encontró información,
Venezolano,Inter,"""El mediocampista ítalo - venezolano del Inter de Milán""",https://twitter.com/SOLOVENEX_/status/1830593344453394706#m,"Sep 2, 2024","""El mediocampista ítalo - venezolano del Inter de Milán""",
Venezolano,Girona FC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1830579186416632232#m,"Sep 2, 2024",No se encontró información,
Venezolano,Corinthians,"""El ímpetu del volante maracucho""",https://twitter.com/SOLOVENEX_/status/1830365314594251011#m,"Sep 2, 2024","""El ímpetu del volante maracucho""",
Venezolano,FC Cincinnati,"""El delantero valenciano""",https://twitter.com/SOLOVENEX_/status/1830066567645712405#m,"Sep 1, 2024","""El delantero valenciano""",
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829942982566690836#m,"Aug 31, 2024",No se encontró información,
Venezolano,Universidad Católica EC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829702089473237344#m,"Aug 31, 2024",No se encontró información,
Venezolano,Kimkhi FC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829610581193806065#m,"Aug 30, 2024",No se encontró información,
Venezolano,Atlético Goianiense,"""El atacante categoría ‘2002’ fue anunciado como nuevo jugador del Atlético Goianiense del Brasileirao.  Arriba desde el Vizela de la segunda categoría del fútbol portugués a la que será su segunda etapa en el fútbol de Brasil tras su paso por el Santos FC.""",https://twitter.com/SOLOVENEX_/status/1829600154149883995#m,"Aug 30, 2024",No se encontró información,
Venezolano,Atlético Goianiense,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829600154149883995#m,"Aug 30, 2024",No se encontró información,
Venezolano,Inter,"""Nacido en Venezia – Italia, de madre venezolana""",https://twitter.com/SOLOVENEX_/status/1829256513195782654#m,"Aug 29, 2024","""Nacido en Venezia – Italia, de madre venezolana""",
Venezolano,Atlético Bucaramanga,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829168408929415355#m,"Aug 29, 2024",No se encontró información,
Venezolano,Atlético Bucaramanga,No se encontró información,https://twitter.com/SOLOVENEX_/status/1829154329728835695#m,"Aug 29, 2024",No se encontró información,
Venezolana,incompleto,"""la joven estratega venezolana""",https://twitter.com/SOLOVENEX_/status/1829154329728835695#m,"Aug 29, 2024","""la joven estratega venezolana""",
Venezolano,Al-Taawoun,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828935917358154013#m,"Aug 28, 2024",No se encontró información,
Argentino,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828854090862080159#m,"Aug 28, 2024",No se encontró información,
Venezolano,Inter,"""Nacido en Venezia – Italia, de madre venezolana""",https://twitter.com/SOLOVENEX_/status/1828784995684565445#m,"Aug 28, 2024","""Nacido en Venezia – Italia, de madre venezolana""",
Uruguayo,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828583566646637055#m,"Aug 28, 2024",No se encontró información,
Uruguayo,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828583566646637055#m,"Aug 28, 2024",No se encontró información,
Uruguayo,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828583566646637055#m,"Aug 28, 2024",No se encontró información,
Uruguayo,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828583566646637055#m,"Aug 28, 2024",No se encontró información,
Uruguayo,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828583566646637055#m,"Aug 28, 2024",No se encontró información,
Venezolano,Roda JCKerkrade,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828559548208079023#m,"Aug 28, 2024",No se encontró información,
Venezolano,incompleto,"""Nacido en Caracas""",https://twitter.com/SOLOVENEX_/status/1828508958929060176#m,"Aug 27, 2024","""Nacido en Caracas""",
Venezolano,incompleto,"""Nacido en Caracas""",https://twitter.com/SOLOVENEX_/status/1828437335605690471#m,"Aug 27, 2024","""Nacido en Caracas""",
Venezolano,incompleto,"""Nacido en Caracas""",https://twitter.com/SOLOVENEX_/status/1828436867294921185#m,"Aug 27, 2024","""Nacido en Caracas""",
Venezolano,incompleto,"""Nacido en Caracas""",https://twitter.com/SOLOVENEX_/status/1828436867294921185#m,"Aug 27, 2024","""Nacido en Caracas""",
Venezolano,Corinthians,"""’El Brujo’""",https://twitter.com/SOLOVENEX_/status/1828155885052666261#m,"Aug 26, 2024","""’El Brujo’""",
Argentino,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1828093401067143387#m,"Aug 26, 2024",No se encontró información,
Venezolano,Conquimbo Unido U18,No se encontró información,https://twitter.com/SOLOVENEX_/status/1827842046289232306#m,"Aug 25, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1827770536048406756#m,"Aug 25, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1827770536048406756#m,"Aug 25, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1827770536048406756#m,"Aug 25, 2024",No se encontró información,
Venezolano,Estudiantes MEFC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1827770536048406756#m,"Aug 25, 2024",No se encontró información,
Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1827770536048406756#m,"Aug 25, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1827721486418805158#m,"Aug 25, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1827721486418805158#m,"Aug 25, 2024",No se encontró información,
Venezolano,Atlético Goianiense,No se encontró información,https://twitter.com/SOLOVENEX_/status/1827652721475723569#m,"Aug 25, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1827353406379585695#m,"Aug 25, 2024",No se encontró información,
Venezolano,Universidad Católica,"""Fue tentado por la selección de Chile en la categoría U17, pero decidió representar a Venezuela.""",https://twitter.com/SOLOVENEX_/status/1827152775781716471#m,"Aug 24, 2024","""Fue tentado por la selección de Chile en la categoría U17, pero decidió representar a Venezuela.""",
Venezolano,Caracas FC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1826643073486422237#m,"Aug 22, 2024",No se encontró información,
Venezolano,Botafogo,No se encontró información,https://twitter.com/SOLOVENEX_/status/1826608183227384237#m,"Aug 22, 2024",No se encontró información,
Venezolano,Cusco FC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1826373985095012464#m,"Aug 21, 2024",No se encontró información,
Venezolano,Gremio,No se encontró información,https://twitter.com/SOLOVENEX_/status/1826268674413473880#m,"Aug 21, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1826222155467575785#m,"Aug 21, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1825998619238969801#m,"Aug 21, 2024",No se encontró información,
Venezolano,SS Lazio,"""El lateral izquierdo categoría 2005 nacido en Italia, seguirá ligado a las filas de la SS Lazio.""",https://twitter.com/SOLOVENEX_/status/1825951399991218588#m,"Aug 20, 2024","""El lateral izquierdo categoría 2005 nacido en Italia, seguirá ligado a las filas de la SS Lazio.""",
Venezolano,Kifisia FC,"""Moukhallaleh nació el 21 de enero de 1990 en la ciudad de Maracay, es ingeniero civil de profesión y ha pasado por la filial del River Plate en Costa Rica previo a su llegada a Italia, donde obtuvo las licencias de UEFA C y UEFA B, que le valieron para realizar pasantías en Juventus, Torino, AS Roma, Atalanta y la selección de Venezuela categoría U-17.""",https://twitter.com/SOLOVENEX_/status/1825890272519053353#m,"Aug 20, 2024","""Moukhallaleh nació el 21 de enero de 1990 en la ciudad de Maracay, es ingeniero civil de profesión y ha pasado por la filial del River Plate en Costa Rica previo a su llegada a Italia, donde obtuvo las licencias de UEFA C y UEFA B, que le valieron para realizar pasantías en Juventus, Torino, AS Roma, Atalanta y la selección de Venezuela categoría U-17.""",
Venezolano,Deportivo Táchira,No se encontró información,https://twitter.com/SOLOVENEX_/status/1825890272519053353#m,"Aug 20, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1825712105628082327#m,"Aug 20, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1825642193018826902#m,"Aug 20, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1825562434993537106#m,"Aug 19, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1825562434993537106#m,"Aug 19, 2024",No se encontró información,
Venezolano,Atlético Goianiense,"""El último de la tabla logró imponerse al ‘Colorado’ con un tanto del nacido en El Cantón""",https://twitter.com/SOLOVENEX_/status/1825525533465076125#m,"Aug 19, 2024","""El último de la tabla logró imponerse al ‘Colorado’ con un tanto del nacido en El Cantón""",
Venezolano,Vitória SC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1825236304717664387#m,"Aug 18, 2024",No se encontró información,
Venezolano,Corinthians,"""El maracucho se ganó el cariño de un club, de una ciudad.""",https://twitter.com/SOLOVENEX_/status/1824978679027454168#m,"Aug 18, 2024","""El maracucho se ganó el cariño de un club, de una ciudad.""",
Uruguayo,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1824461678139875722#m,"Aug 18, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1824130505890992303#m,"Aug 16, 2024",No se encontró información,
Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1824130505890992303#m,"Aug 16, 2024",No se encontró información,
