Nombre completo,País de origen,Equipo actual,Cualquier referencia a su ascendencia o raíces,Link del tweet,Fecha,Parte del tweet
"Rojas, Juan",Venezolano,incompleto,"""el guardameta venezolano que entrenó con la selección de Brasil en su último ciclo de preparación previo a la Copa América""",https://twitter.com/SOLOVENEX_/status/1834641418255503805#m,"Sep 13, 2024 · 5:12 PM UTC","""el guardameta venezolano que entrenó con la selección de Brasil en su último ciclo de preparación previo a la Copa América"""
"Nieto, Dani",Español,Anzoátegui FC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1835739583797133389#m,"Sep 16, 2024 · 5:56 PM UTC",No se encontró información
"Correa, José",Venezolano,incompleto,No se encontró información,https://twitter.com/carlostaracher/status/1835712436382355852#m,"Sep 16, 2024 · 4:08 PM UTC",No se encontró información
"Aramburu, Jon",Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1835093710046216334#m,"Sep 14, 2024 · 11:10 PM UTC",No se encontró información
"Aramburu, Jon",Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1835042879821300176#m,"Sep 14, 2024 · 7:48 PM UTC",No se encontró información
"Aramburu, Jon",Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1835021064482459913#m,"Sep 14, 2024 · 6:21 PM UTC",No se encontró información
"Aramburu, Jon",Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1834963942327701897#m,"Sep 14, 2024 · 2:34 PM UTC",No se encontró información
"Aramburu, Jon",Venezolano,Real Sociedad,No se encontró información,https://twitter.com/SOLOVENEX_/status/1834697033984491984#m,"Sep 13, 2024 · 8:53 PM UTC",No se encontró información
"Añor, Juan",Venezolano,Caracas FC,No se encontró información,https://twitter.com/SOLOVENEX_/status/1834936449461878857#m,"Sep 14, 2024 · 12:45 PM UTC",No se encontró información
"Tegues, Deivid",Venezolano,Chernomorets,No se encontró información,https://twitter.com/SOLOVENEX_/status/1834229309579428033#m,"Sep 12, 2024 · 1:55 PM UTC",No se encontró información
"Guarirapa, Saúl",Venezolano,CSKA,No se encontró información,https://twitter.com/SOLOVENEX_/status/1834305236988498227#m,"Sep 12, 2024 · 6:57 PM UTC",No se encontró información
"Soteldo, Yeferson",Venezolano,Grêmio,No se encontró información,https://twitter.com/SOLOVENEX_/status/1833570127192985742#m,"Sep 10, 2024 · 6:15 PM UTC",No se encontró información
"Quieto, Daniela",Italiana,Inter,"""de madre venezolana""",https://twitter.com/SOLOVENEX_/status/1833214100190728456#m,"Sep 9, 2024 · 6:41 PM UTC","""de madre venezolana"""
"Faya, Carlos",Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1832837528249848208#m,"Sep 8, 2024 · 5:44 PM UTC",No se encontró información
"Pescatore, Camila",Venezolana,As Celtas,No se encontró información,https://twitter.com/SOLOVENEX_/status/1832574001169723902#m,"Sep 8, 2024 · 12:17 AM UTC",No se encontró información
"Areste, Arturo",Venezolano,CF Kelme,"""Nacido en España, hijo de españoles, pero nieto de una abuela venezolana""",https://twitter.com/SOLOVENEX_/status/1832445734165033398#m,"Sep 7, 2024 · 3:48 PM UTC","""Nacido en España, hijo de españoles, pero nieto de una abuela venezolana"""
"Bolívar, Jovanny",Venezolano,Kolos Kovalivka,No se encontró información,https://twitter.com/SOLOVENEX_/status/1832108089769914572#m,"Sep 6, 2024 · 5:26 PM UTC",No se encontró información
"Farías, César",Venezolano,Junior Club,No se encontró información,https://twitter.com/SOLOVENEX_/status/1832060281532379617#m,"Sep 6, 2024 · 2:16 PM UTC",No se encontró información
"Batista, Fernando",Argentino,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1831853820873470243#m,"Sep 6, 2024 · 12:35 AM UTC",No se encontró información
"Batista, Fernando",Argentino,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1831841940029014134#m,"Sep 5, 2024 · 11:48 PM UTC",No se encontró información
"Rey, José Manuel",Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1831689906709467588#m,"Sep 5, 2024 · 1:44 PM UTC",No se encontró información
"Rincón, Tomás",Venezolano,incompleto,No se encontró información,https://twitter.com/SOLOVENEX_/status/1831426301779202362#m,"Sep 4, 2024 · 8:17 PM UTC",No se encontró información
"Torregrossa, Ernesto",Venezolano,Salernitana,"""italo - venezolano""",https://twitter.com/SOLOVENEX_/status/1831325456462733789#m,"Sep 4, 2024 · 1:36 PM UTC","""italo - venezolano"""
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
